# alias,level,current_name,province
ha giang,4,Tuyên Quang,
yen bai,4,Lào Cai,
bac kan,4,Thái Nguyên,
bac can,4,Thái Nguyên,
vinh phuc,4,Phú Thọ,
hoa binh,4,Phú Thọ,
bac giang,4,Bắc Ninh,
thai binh,4,Hưng Yên,
hai duong,4,Hải Phòng,
ha nam,4,Ninh Bình,
nam dinh,4,Ninh Bình,
quang binh,4,Quảng Trị,
quang nam,4,Đà Nẵng,
kon tum,4,Quảng Ngãi,
binh dinh,4,Gia Lai,
ninh thuan,4,Khánh Hòa,
dak nong,4,Lâm Đồng,
binh thuan,4,Lâm Đồng,
phu yen,4,Đắk Lắk,
binh duong,4,Thành phố Hồ Chí Minh,
ba ria - vung tau,4,Thành phố Hồ Chí Minh,
ba ria-vung tau,4,Thành phố Hồ Chí Minh,
ba ria vung tau,4,Thành phố Hồ Chí Minh,
binh phuoc,4,Đồng Nai,
long an,4,Tây Ninh,
soc trang,4,Cần Thơ,
hau giang,4,Cần Thơ,
ben tre,4,Vĩnh Long,
tra vinh,4,Vĩnh Long,
tien giang,4,Đồng Tháp,
bac lieu,4,Cà Mau,
kien giang,4,An Giang,
thua thien hue,4,Huế,
thua thien-hue,4,Huế,
# Phường/xã cũ → mới (ví dụ spec 5.7; bổ sung theo NQ UBTVQH 2025):
phuong 6 quan 10,8,Phường Diên Hồng,Thành phố Hồ Chí Minh
# Huyện đảo Cô Tô (Quảng Ninh) sáp nhập thành đặc khu — NQ 1679/NQ-UBTVQH15 (16/06/2025, hiệu lực
# 01/07/2025): "sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của thị trấn Cô Tô, xã Đồng Tiến
# và xã Thanh Lân thành đặc khu Cô Tô". Ranh giới OSM cũ (snapshot 2025-06-30) của cả ba đơn vị bao
# nhiều biển hơn ranh giới đặc khu mới (chỉ vẽ quanh đất liền), nên tỉ lệ phủ hình học chỉ 2,6-6,4%
# — dưới ngưỡng 5% ở hai trong ba đơn vị (điều tra 13/09/2026, `docs/evidence/overture-removal/`).
xa thanh lan huyen co to quang ninh,8,Đặc khu Cô Tô,Thành phố Quảng Ninh
thi tran co to huyen co to quang ninh,8,Đặc khu Cô Tô,Thành phố Quảng Ninh
xa dong tien huyen co to quang ninh,8,Đặc khu Cô Tô,Thành phố Quảng Ninh
